date,station_id,surface_ha,rainfall_mm,temp_max_c,water_deficit_mm
2010-05-31,lucena,88000,0.0,34.2,0.0
2010-05-31,martos,68000,0.0,32.9,0.0
2010-05-31,sevilla_capital,75000,0.0,37.4,0.0
2010-05-31,ubeda,98000,0.0,32.0,0.0
2010-06-07,antequera,35000,0.0,29.1,0.0
2010-06-07,baeza,72000,0.0,28.0,0.0
2010-06-07,baza,28000,0.0,28.9,0.0
2010-06-07,cabra,52000,0.0,30.1,0.0
2010-06-07,cordoba_capital,140000,0.0,32.5,0.0
2010-06-07,ecija,42000,0.0,32.6,0.0
2010-06-07,granada_capital,55000,0.0,28.8,0.0
2010-06-07,jaen_capital,165000,0.0,29.9,0.0
2010-06-07,linares,45000,0.0,30.4,0.0
2010-06-07,lucena,88000,0.0,29.9,0.0
2010-06-07,martos,68000,0.0,29.0,0.0
2010-06-07,sevilla_capital,75000,0.0,32.3,0.0
2010-06-07,ubeda,98000,0.0,28.4,0.0
2010-06-14,antequera,35000,0.0,26.7,0.0
2010-06-14,baeza,72000,0.0,23.0,0.0
2010-06-14,baza,28000,0.0,24.7,0.0
2010-06-14,cabra,52000,0.0,26.6,0.0
2010-06-14,cordoba_capital,140000,0.0,29.3,0.0
2010-06-14,ecija,42000,0.0,29.6,0.0
2010-06-14,granada_capital,55000,0.0,25.4,0.0
2010-06-14,jaen_capital,165000,0.0,25.4,0.0
2010-06-14,linares,45000,0.0,26.0,0.0
2010-06-14,lucena,88000,0.0,26.3,0.0
2010-06-14,martos,68000,0.0,24.8,0.0
2010-06-14,sevilla_capital,75000,0.0,29.5,0.0
2010-06-14,ubeda,98000,0.0,23.3,0.0
2010-06-21,antequera,35000,0.0,29.1,0.0
2010-06-21,baeza,72000,0.0,30.5,0.0
2010-06-21,baza,28000,0.0,30.3,0.0
2010-06-21,cabra,52000,0.0,32.3,0.0
2010-06-21,cordoba_capital,140000,0.0,34.6,0.0
2010-06-21,ecija,42000,0.0,35.4,0.0
2010-06-21,granada_capital,55000,0.0,31.4,0.0
2010-06-21,jaen_capital,165000,0.0,32.0,0.0
2010-06-21,linares,45000,0.0,33.1,0.0
2010-06-21,lucena,88000,0.0,31.6,0.0
2010-06-21,martos,68000,0.0,31.1,0.0
2010-06-21,sevilla_capital,75000,0.0,34.5,0.0
2010-06-21,ubeda,98000,0.0,31.2,0.0
2010-06-28,antequera,35000,0.0,33.4,0.0
2010-06-28,baeza,72000,0.0,34.0,0.0
2010-06-28,baza,28000,0.0,32.3,0.0
2010-06-28,cabra,52000,0.0,37.4,0.0
2010-06-28,cordoba_capital,140000,0.0,39.5,0.0
